"grp","term","max_est","class_1","class_2","class_3","c12","c13","c23","notc1_v_c1"
"(Intercept)","(Intercept)",2.48065386949817,-2.48065386949817,-0.237706533298153,0.140771268791345,-1.29497430694704,-1.6756232634008,0.068532997560883,-2.14903164185739
"trt_","trt_recode_active",0.716055469337373,0.716055469337373,0,-0.301543274562793,0.232374028511445,0.676037712112389,0.034102816344439,NA
"site_","site_aus",0.529844132557535,-0.00540609318497128,0,-0.198257977705892,-0.0112258476873986,0.000485377196397424,-0.0308004404788287,0.000546909401551161
"site_","site_den",0.529844132557535,0.354726776830829,0.123063519707539,-0.529844132557535,0,0.27637110641063,0.0523567009647445,-0.0767534708621279
"site_","site_ger",0.529844132557535,0.1010230244907,0,-0.508952467166173,0,0.099949512129107,0.0240120890953671,-0.120409909091017
"site_","site_swi",0.529844132557535,0.0620525168835257,0,-0.35772829881277,0,0.491946231380903,0.0231593351796218,0.385840439035696
"sex_","sex_MALE",0.381466035510143,0.381466035510143,0,-0.211284904155834,0.139567261129123,0.274884559564595,0.0109564108910932,-0.0491749200373658
"age","age",0.258046255529915,0.258046255529915,0,-0.123416610764306,0.135766102113015,0.229153085863888,0.00979592827406426,0.332197501685837
"sf_","sf_physheal",0.222641160056135,0.0220315534835692,0,-0.0178214301461297,0,0.064879969289503,0.00678942577056097,-0.202909537567087
"sf_","sf_emoprob",0.222641160056135,-0.0164856446507942,0,-0.00451702519769907,-0.00331051265385008,-0.0762430574197836,0.00112459853291208,0.0835539038900117
"sf_","sf_socfunc",0.222641160056135,0.0516059216122991,0,-0.0709110110329571,0,-0.0463076787475173,0.00172978678648029,-0.209914007076262
"sf_","sf_pain",0.222641160056135,-0.222641160056135,0.119863289608726,-0.108679113404902,-0.136732535916631,-0.181864478514686,0.03096297510935,0.162192159504738
"sf_","sf_emowell",0.222641160056135,-0.142281403779219,0,0.0946840057007683,0,0.0523683732633164,-0.00199651075416671,0.170087946602583
"rsq_","rsq_calming",0.166129881225971,-0.166129881225971,0,0.104415198755068,0,-0.173928748025976,-0.0014367872774176,-0.252098347750153
"rsq_","rsq_last_cig_exp",0.166129881225971,0.00119071767291617,0,-0.0123269938206102,0,0.0851587496897096,0.0151660705352636,0.106554337160003
"rsq_","rsq_pepping_up_eff",0.166129881225971,0.0530087382133773,0,-0.0220232468794366,-0.0332184420702826,0.000508291435881953,0.00626186773177401,0.168730479469482
"ftnd","ftnd",0.156153851578714,-0.156153851578714,0,0.112368670997555,0,-0.118568489419168,-0.0284278240293904,-0.35659943583599
"avg_","avg_cpd",0.139291428709312,0.139291428709312,0,-0.0494544296316509,0.00665013213244034,0.0202304598737247,-0.00966967869849937,0.269618236506647
"int_","int_to_quit",0.137386400488902,0.137386400488902,0,-0.0622633670421717,0.0241660085997153,0.191219857567957,0.016365342907964,0.196737101192483
"anxiety","anxiety",0.108402028285497,-0.0104807777270844,0,-0.108402028285497,0,-0.0413563987226851,-0.00106681991128889,-0.0450974950780544
"co","co",0.105741315433925,-0.0283246274872851,-0.0436962418877613,0.105741315433925,0,-0.153264988115714,-0.0232051646588152,0.16823129131962
"ts_","ts_last_quit_attempt",0.0992507198264595,-0.0992507198264595,0,0.0159647274639754,-0.0178996545571117,-0.206614985750826,-0.00271480971644779,-0.0687446859314355
"age_","age_started_smoking",0.0840584874251503,0.0840584874251503,0,-0.0463213783398424,0,0.0796181155966989,0.0154879946055742,-0.194254875415306
"depression","depression",0.0700291309166259,-0.0227134125763012,0,0.0700291309166259,0,0.0184038814984855,-0.0145649664222908,0.293100859669141
"longest_","longest_period_wo_smoking",0.058480198717405,-0.0557367989660821,0,0.058480198717405,0,0.0812115488138721,-0.00780973424678153,0.0385574850852868
"n_","n_quit_attempts",0.00587168287334406,-0.00587168287334406,0,-0.00249324769106835,-0.0210326141012102,-0.00305221947007193,0.00765849905905462,-0.0755540762756242
